,Interarrival times (>M7)
0,11 days
1,0 days
2,38 days
3,14 days
4,2 days
5,51 days
6,22 days
7,21 days
8,31 days
9,9 days
10,0 days
11,2 days
12,0 days
13,10 days
14,201 days
15,95 days
16,85 days
17,39 days
18,72 days
19,3 days
20,0 days
21,203 days
22,79 days
23,6 days
24,67 days
25,4 days
26,35 days
27,14 days
28,7 days
29,7 days
30,35 days
31,45 days
32,0 days
33,7 days
34,5 days
35,58 days
36,7 days
37,1 days
38,8 days
39,4 days
40,4 days
41,13 days
42,26 days
43,11 days
44,104 days
45,11 days
46,11 days
47,1 days
48,17 days
49,164 days
50,3 days
51,99 days
52,1 days
53,33 days
54,10 days
55,6 days
56,49 days
57,38 days
58,22 days
59,28 days
60,4 days
61,11 days
62,4 days
63,9 days
64,37 days
65,30 days
66,102 days
67,24 days
68,7 days
69,180 days
70,5 days
71,12 days
72,1 days
73,6 days
74,34 days
75,77 days
76,3 days
77,21 days
78,41 days
79,0 days
80,20 days
81,15 days
82,30 days
83,26 days
84,3 days
85,24 days
86,20 days
87,49 days
88,18 days
89,107 days
90,2 days
91,57 days
92,7 days
93,22 days
94,109 days
95,7 days
96,187 days
97,1 days
98,12 days
99,22 days
100,151 days
101,11 days
102,29 days
103,7 days
104,46 days
105,5 days
106,15 days
107,17 days
108,85 days
109,97 days
110,16 days
111,55 days
112,0 days
113,83 days
114,20 days
115,29 days
116,27 days
117,19 days
118,21 days
119,142 days
120,32 days
121,1 days
122,19 days
123,74 days
124,26 days
125,129 days
126,18 days
127,0 days
128,1 days
129,99 days
130,21 days
131,7 days
132,45 days
133,44 days
134,78 days
135,42 days
136,1 days
137,0 days
138,80 days
139,41 days
140,55 days
141,50 days
142,24 days
143,91 days
144,14 days
145,165 days
146,17 days
147,30 days
148,11 days
149,35 days
150,15 days
151,209 days
152,9 days
153,85 days
154,15 days
155,14 days
156,198 days
157,64 days
158,35 days
159,45 days
160,9 days
161,55 days
162,7 days
163,16 days
164,174 days
165,19 days
166,149 days
167,89 days
168,16 days
169,53 days
170,83 days
171,48 days
172,18 days
173,33 days
174,6 days
175,30 days
176,2 days
177,37 days
178,27 days
179,1 days
180,18 days
181,67 days
182,68 days
183,70 days
184,17 days
185,14 days
186,2 days
187,3 days
188,103 days
