Latitude,Longitude,SOURCE,SOURCE.NAM,OTHER.NAME,WELL.ID,Al (ppb),As (ppb),Ba (ppb),Ca (ppb),Cl (ppb),Cr (ppb),Cu (ppb),F (ppb),Fe (ppb),K (ppb),Mg (ppb),Mn (ppb),Mo (ppb),Ni (ppb),NO3 (ppb),Pb (ppb),Se (ppb),SO4 (ppb),Sr (ppb),U (ppb),V (ppb0,Zn (ppb),Cr_level,Cr_level1
39.76766667,-121.78155559999999,USGS,CAMP-ES-15,CAMP-ES-15,CAMP-ES-15,2.6,0.79,8.62,17700.0,3260.0,0.75,0.76,130.0,3.2,1130.0,10300.0,0.28,0.245,0.28,474.0,0.341,0.05,3410.0,135.0,0.117068,20.0,2.0,0,Normal Cr
37.75711111,-120.7992778,USGS,CE-QPC-01,CE-QPC-01,CE-QPC-01,6.6,1.2,43.1,24400.0,8890.0,0.92,2.5,80.0,4.0,2650.0,9310.0,0.4,0.7759999999999999,1.18,4390.0,2.69,0.05,7580.0,309.0,0.35668,7.0,26.1,0,Normal Cr
37.75711111,-120.7992778,USGS,CE-QPC-01,CE-QPC-01,CE-QPC-01,1.5,1.3,43.2,22800.0,6650.0,0.96,2.1,160.0,8.4,2660.0,10200.0,0.34,0.74,0.2,4340.0,1.13,0.08,10500.0,316.0,0.30784,7.3,28.6,0,Normal Cr
37.64116667,-120.7455,USGS,CE-QPC-02,CE-QPC-02,CE-QPC-02,2.6,3.9,125.0,22100.0,18900.0,1.8,0.8,170.0,6.0,4490.0,14400.0,0.26,0.526,0.43,3990.0,0.068,0.06,10400.0,338.0,0.78884,17.9,45.8,1,Normal Cr
37.64116667,-120.7455,USGS,CE-QPC-02,CE-QPC-02,CE-QPC-02,14.3,4.3,91.5,30500.0,11400.0,1.2,1.6,170.0,37.1,3950.0,19600.0,3.2,0.382,0.27,6800.0,0.243,0.11,10500.0,291.0,1.0804,19.7,2.8,1,Normal Cr
38.28752778,-121.32897220000001,USGS,COS-08,COS-08,COS-08,3.4,21.9,154.0,9430.0,7420.0,0.3,0.8,60.0,81.0,1290.0,6460.0,132.0,2.11,0.2,238.0,0.04,0.09,3450.0,115.0,0.15688,3.0,6.8,0,Normal Cr
38.28752778,-121.32897220000001,USGS,COS-08,COS-08,COS-08,1.3,21.5,152.0,9470.0,7720.0,0.15,1.0,90.0,90.8,1350.0,6150.0,154.0,2.24,0.21,298.0,0.08,0.07,3080.0,126.0,0.2812,1.5,1.5,0,Normal Cr
38.28752778,-121.32897220000001,USGS,COS-08,COS-08,COS-08,4.8,19.3,136.0,10000.0,8580.0,0.12,0.8,80.0,102.0,1230.0,6660.0,154.0,2.38,0.11,176.0,0.025,0.07,3960.0,104.0,0.20572,1.9,1.6,0,Normal Cr
38.21766667,-121.22669440000001,USGS,COS-10,COS-10,COS-10,4.5,1.5,170.0,36800.0,23800.0,5.3,2.4,120.0,4.0,3480.0,20400.0,0.4,0.342,0.48,4590.0,0.28300000000000003,0.27,9560.0,407.0,0.3182,20.2,11.7,3,Normal Cr
36.65091111,-120.24860559999999,USGS,DM-01,DM-01,DM-01,5.7,15.7,14.2,15000.0,56700.0,0.12,1.0,850.0,40.1,2290.0,1550.0,93.1,28.1,0.07,40.0,0.019,0.04,319000.0,140.0,2.072,0.42,2.8,0,Normal Cr
36.77631944,-120.37368889999999,USGS,DM-02,DM-02,DM-02,3.4,0.19,55.1,105000.0,320000.0,0.12,1.0,180.0,524.0,5120.0,25700.0,842.0,7.7,0.75,40.0,0.115,0.13,606000.0,920.0,0.12802,0.48,23.0,0,Normal Cr
37.04547222,-120.63625,USGS,DM-04,DM-04,DM-04,3.4,9.6,294.0,46900.0,79900.0,0.12,3.6,100.0,40.1,1980.0,18300.0,583.0,2.77,0.41,40.0,2.47,0.04,42500.0,688.0,1.6576,0.18,12.9,0,Normal Cr
36.86113889,-120.4517222,USGS,DM-05,DM-05,DM-05,1.8,3.5,132.0,25000.0,89000.0,0.12,1.0,80.0,400.0,3100.0,16400.0,414.0,2.73,0.3,40.0,0.03,0.03,71300.0,477.0,0.0129944,0.37,2.8,0,Normal Cr
37.10049861,-121.00742140000001,USGS,DM-08,DM-08,DM-08,17.0,2.0,82.0,63600.0,258000.0,2.4,5.0,360.0,4.3,1980.0,41000.0,1.3,2.27,0.43,2580.0,0.146,0.36,143000.0,1150.0,2.9896,4.8,14.0,1,Normal Cr
37.31433333,-121.02469440000002,USGS,DM-09,DM-09,DM-09,10.2,1.0,43.4,87900.0,256000.0,4.2,3.0,200.0,4.0,2830.0,45800.0,0.54,2.18,0.83,4840.0,1.2,1.8,170000.0,1390.0,5.0468,5.8,10.6,2,Normal Cr
37.25183333,-120.99430559999999,USGS,DM-10,DM-10,DM-10,17.0,2.3,47.9,59900.0,326000.0,1.7,5.0,180.0,6.0,2320.0,34800.0,25.7,7.62,0.6,2140.0,0.109,1.6,225000.0,916.0,1.8056,5.7,14.0,1,Normal Cr
36.98266667,-120.8279444,USGS,DM-13,DM-13,DM-13,17.0,1.7,46.3,87800.0,264000.0,0.6,5.0,170.0,61.3,2920.0,43200.0,237.0,4.13,0.53,40.0,0.15,0.2,334000.0,1850.0,0.080956,0.52,14.0,0,Normal Cr
36.915,-120.65816670000001,USGS,DM-15,DM-15,DM-15,34.0,2.1,13.4,214000.0,124000.0,1.2,10.0,180.0,12.0,3360.0,72600.0,493.0,39.1,2.3,32.0,1.04,0.38,1080000.0,3060.0,5.327999999999999,1.6,28.0,1,Normal Cr
37.01133333,-120.65652779999999,USGS,DM-16,DM-16,DM-16,10.2,5.0,346.0,76200.0,535000.0,0.36,3.0,130.0,82.5,2980.0,39900.0,872.0,7.08,0.76,40.0,1.06,0.12,84200.0,1060.0,0.98272,3.3,8.4,0,Normal Cr
36.83638889,-120.67394440000001,USGS,DM-19,DM-19,DM-19,2.9,0.73,12.0,83500.0,170000.0,5.7,6.2,300.0,4.0,1960.0,39600.0,0.96,67.1,0.45,1310.0,1.26,8.6,545000.0,1510.0,4.292,5.6,28.0,3,Normal Cr
36.83638889,-120.67394440000001,USGS,DM-19,DM-19,DM-19,7.6,0.86,13.5,91800.0,147000.0,5.2,10.0,290.0,4.0,1970.0,39100.0,1.05,80.0,1.6,1220.0,0.272,7.9,616000.0,1490.0,4.9136,4.5,6.4,3,Normal Cr
36.83638889,-120.67394440000001,USGS,DM-19,DM-19,DM-19,34.0,0.7,11.3,92100.0,153000.0,6.2,3.6,340.0,6.0,1800.0,38900.0,1.42,81.3,0.4,1250.0,1.17,8.0,553000.0,1280.0,4.0404,4.0,5.0,3,Normal Cr
37.54566667,-121.26397220000001,USGS,DM-21,DM-21,DM-21,17.0,0.76,25.0,52900.0,107000.0,2.9,3.8,480.0,87.5,2510.0,46200.0,1.9,3.69,1.0,5890.0,1.48,1.3,220000.0,798.0,2.8268,3.0,3.9,2,Normal Cr
37.54566667,-121.26397220000001,USGS,DM-21,DM-21,DM-21,3.0,0.79,27.1,47500.0,112000.0,1.1,5.0,510.0,131.0,2410.0,44700.0,6.83,3.61,0.35,4560.0,0.085,2.2,258000.0,834.0,2.7528,2.6,84.0,1,Normal Cr
36.89252778,-120.56375,USGS,DM-22,DM-22,DM-22,6.8,9.3,31.0,310000.0,1050000.0,0.32,2.0,120.0,187.0,8170.0,135000.0,3190.0,11.0,3.8,40.0,0.06,0.09,1000000.0,4090.0,4.1144,3.9,2.9,0,Normal Cr
36.98552778,-120.58305559999998,USGS,DM-24,DM-24,DM-24,3.4,3.7,127.0,101000.0,390000.0,0.12,1.0,90.0,1160.0,4080.0,57100.0,2680.0,3.04,1.9,40.0,0.059000000000000004,0.04,213000.0,1300.0,0.46324,1.2,4.7,0,Normal Cr
37.08430556,-120.70791670000001,USGS,DM-25,DM-25,DM-25,3.4,7.6,57.4,35800.0,149000.0,0.07,1.0,150.0,270.0,1580.0,18200.0,617.0,9.33,0.42,40.0,0.179,0.04,77400.0,413.0,1.6132,0.81,2.0,0,Normal Cr
37.10138889,-120.82061110000001,USGS,DM-27,DM-27,DM-27,12.5,6.1,17.2,51700.0,297000.0,0.6,1.6,220.0,63.2,2800.0,46000.0,709.0,25.1,0.4,40.0,0.08,0.05,610000.0,1150.0,0.59644,2.8,5.6,0,Normal Cr
37.10138889,-120.82061110000001,USGS,DM-27,DM-27,DM-27,3.4,7.9,19.2,82500.0,473000.0,0.24,2.0,170.0,918.0,3270.0,18400.0,363.0,47.7,0.65,39.0,0.06,0.14,729000.0,643.0,0.3848,0.35,4.0,0,Normal Cr
